iter	Passed	Remaining
0	13	6978
1	24	6051
2	33	5506
3	42	5219
4	50	5039
5	62	5143
6	71	5068
7	80	4952
8	88	4816
9	93	4581
10	96	4306
11	100	4087
12	103	3895
13	107	3725
14	110	3585
15	114	3451
16	117	3336
17	120	3235
18	124	3145
19	127	3060
20	131	2990
21	134	2920
22	137	2856
23	141	2797
24	144	2745
25	148	2701
26	151	2655
27	154	2605
28	158	2566
29	161	2523
30	164	2487
31	167	2455
32	171	2422
33	174	2387
34	177	2357
35	180	2332
36	184	2306
37	187	2278
38	190	2256
39	194	2232
40	197	2213
41	201	2192
42	204	2172
43	207	2152
44	211	2135
45	214	2117
46	217	2100
47	221	2083
48	224	2065
49	227	2049
50	231	2033
51	234	2017
52	237	2003
53	240	1989
54	244	1976
55	247	1962
56	250	1949
57	254	1938
58	257	1925
59	265	1946
60	268	1935
61	272	1925
62	276	1916
63	279	1905
64	283	1894
65	286	1885
66	290	1876
67	293	1867
68	297	1856
69	300	1848
70	304	1840
71	308	1831
72	311	1823
73	315	1815
74	318	1805
75	321	1795
76	325	1786
77	328	1779
78	332	1770
79	335	1760
80	339	1756
81	342	1747
82	346	1739
83	349	1730
84	352	1721
85	355	1712
86	359	1704
87	362	1697
88	366	1691
89	369	1683
90	372	1675
91	377	1672
92	380	1665
93	383	1657
94	387	1651
95	390	1644
96	394	1637
97	397	1630
98	401	1624
99	404	1617
100	407	1610
101	410	1603
102	414	1597
103	418	1591
104	421	1584
105	424	1578
106	428	1572
107	431	1565
108	434	1559
109	437	1552
110	441	1546
111	444	1540
112	448	1534
113	451	1528
114	454	1521
115	457	1515
116	460	1508
117	464	1503
118	467	1497
119	470	1491
120	474	1485
121	477	1479
122	481	1474
123	484	1468
124	488	1466
125	492	1460
126	495	1455
127	498	1449
128	502	1444
129	506	1440
130	510	1437
131	513	1432
132	517	1427
133	520	1422
134	523	1416
135	527	1411
136	530	1405
137	533	1400
138	537	1394
139	540	1389
140	543	1384
141	547	1379
142	550	1374
143	553	1369
144	557	1364
145	560	1359
146	564	1354
147	567	1349
148	570	1344
149	574	1339
150	577	1333
151	580	1328
152	583	1323
153	587	1319
154	590	1314
155	593	1308
156	596	1303
157	600	1298
158	603	1294
159	606	1289
160	610	1285
161	613	1280
162	618	1278
163	621	1273
164	624	1268
165	628	1263
166	631	1259
167	634	1254
168	638	1249
169	641	1245
170	645	1241
171	648	1236
172	651	1232
173	654	1227
174	658	1222
175	661	1218
176	665	1214
177	668	1209
178	671	1204
179	675	1200
180	678	1196
181	682	1192
182	685	1187
183	689	1183
184	692	1179
185	696	1175
186	699	1170
187	703	1166
188	706	1162
189	710	1158
190	713	1154
191	716	1150
192	720	1145
193	723	1141
194	727	1137
195	730	1132
196	733	1128
197	737	1124
198	740	1120
199	743	1115
200	747	1111
201	750	1106
202	753	1102
203	757	1098
204	760	1094
205	763	1090
206	767	1085
207	770	1082
208	774	1078
209	777	1074
210	781	1069
211	784	1065
212	787	1061
213	791	1057
214	794	1053
215	797	1049
216	801	1045
217	804	1040
218	808	1036
219	810	1032
220	814	1028
221	818	1024
222	821	1020
223	824	1016
224	828	1012
225	832	1008
226	835	1004
227	839	1001
228	842	997
229	846	993
230	849	989
231	853	986
232	856	981
233	859	977
234	863	973
235	866	969
236	870	965
237	873	961
238	876	957
239	880	953
240	883	949
241	886	945
242	890	941
243	893	937
244	896	933
245	900	929
246	903	925
247	907	921
248	910	917
249	913	913
250	916	909
251	920	905
252	923	901
253	926	897
254	930	893
255	933	889
256	937	886
257	940	882
258	944	878
259	948	875
260	951	871
261	955	867
262	958	863
263	962	860
264	965	856
265	969	852
266	972	848
267	976	845
268	980	841
269	983	838
270	987	834
271	990	830
272	994	826
273	997	823
274	1001	819
275	1004	815
276	1007	811
277	1011	807
278	1014	803
279	1018	799
280	1021	796
281	1025	792
282	1028	788
283	1031	784
284	1035	780
285	1038	777
286	1041	773
287	1045	769
288	1048	765
289	1052	761
290	1055	758
291	1059	754
292	1062	750
293	1066	746
294	1069	743
295	1072	739
296	1076	735
297	1079	731
298	1082	727
299	1086	724
300	1090	720
301	1093	716
302	1096	713
303	1100	709
304	1103	705
305	1107	702
306	1110	698
307	1114	694
308	1117	690
309	1120	687
310	1124	683
311	1128	679
312	1131	675
313	1134	672
314	1137	668
315	1141	664
316	1144	660
317	1147	657
318	1151	653
319	1155	649
320	1158	645
321	1161	642
322	1164	638
323	1167	634
324	1171	630
325	1174	627
326	1177	623
327	1181	619
328	1184	615
329	1188	612
330	1191	608
331	1195	604
332	1198	601
333	1202	597
334	1205	593
335	1208	590
336	1213	586
337	1216	582
338	1219	579
339	1222	575
340	1225	571
341	1229	567
342	1232	564
343	1235	560
344	1239	556
345	1242	553
346	1245	549
347	1249	545
348	1252	541
349	1256	538
350	1259	534
351	1262	530
352	1266	527
353	1269	523
354	1273	520
355	1276	516
356	1280	512
357	1284	509
358	1288	505
359	1291	502
360	1295	498
361	1299	495
362	1302	491
363	1306	487
364	1309	484
365	1312	480
366	1315	476
367	1319	473
368	1322	469
369	1326	466
370	1329	462
371	1333	458
372	1336	455
373	1340	451
374	1343	447
375	1346	444
376	1350	440
377	1353	436
378	1357	433
379	1360	429
380	1363	426
381	1367	422
382	1371	418
383	1374	415
384	1377	411
385	1381	407
386	1384	404
387	1388	400
388	1391	397
389	1395	393
390	1398	389
391	1401	386
392	1404	382
393	1407	378
394	1411	375
395	1414	371
396	1418	367
397	1421	364
398	1425	360
399	1428	357
400	1432	353
401	1435	349
402	1438	346
403	1442	342
404	1445	339
405	1449	335
406	1452	331
407	1456	328
408	1459	324
409	1462	321
410	1466	317
411	1469	313
412	1472	310
413	1476	306
414	1479	303
415	1482	299
416	1486	295
417	1489	292
418	1492	288
419	1495	284
420	1499	281
421	1502	277
422	1506	274
423	1509	270
424	1512	266
425	1516	263
426	1519	259
427	1523	256
428	1526	252
429	1529	249
430	1533	245
431	1536	241
432	1540	238
433	1544	234
434	1547	231
435	1551	227
436	1554	224
437	1557	220
438	1561	216
439	1564	213
440	1567	209
441	1571	206
442	1574	202
443	1577	199
444	1581	195
445	1584	191
446	1588	188
447	1591	184
448	1595	181
449	1599	177
450	1603	174
451	1606	170
452	1610	167
453	1613	163
454	1617	159
455	1620	156
456	1624	152
457	1627	149
458	1631	145
459	1634	142
460	1637	138
461	1641	134
462	1644	131
463	1647	127
464	1651	124
465	1654	120
466	1658	117
467	1661	113
468	1665	110
469	1668	106
470	1671	102
471	1675	99
472	1678	95
473	1682	92
474	1685	88
475	1689	85
476	1692	81
477	1695	78
478	1699	74
479	1702	70
480	1706	67
481	1709	63
482	1713	60
483	1716	56
484	1719	53
485	1723	49
486	1726	46
487	1729	42
488	1733	38
489	1736	35
490	1739	31
491	1743	28
492	1746	24
493	1750	21
494	1753	17
495	1757	14
496	1760	10
497	1764	7
498	1767	3
499	1770	0
