iter	Passed	Remaining
0	20	10111
1	35	8846
2	47	7862
3	59	7367
4	69	6881
5	78	6492
6	88	6242
7	99	6103
8	111	6098
9	124	6076
10	133	5952
11	144	5884
12	153	5764
13	164	5694
14	173	5618
15	182	5526
16	192	5479
17	201	5398
18	211	5362
19	218	5236
20	227	5195
21	236	5146
22	245	5090
23	254	5050
24	264	5034
25	273	4979
26	282	4941
27	291	4909
28	302	4920
29	316	4954
30	326	4941
31	337	4932
32	347	4920
33	358	4906
34	369	4903
35	377	4871
36	388	4861
37	397	4836
38	407	4812
39	417	4797
40	428	4793
41	438	4779
42	446	4744
43	456	4726
44	465	4708
45	477	4708
46	487	4700
47	499	4699
48	510	4702
49	515	4637
50	525	4625
51	535	4615
52	545	4597
53	555	4590
54	567	4592
55	575	4562
56	586	4558
57	597	4552
58	606	4536
59	616	4521
60	626	4505
61	637	4503
62	647	4493
63	660	4496
64	669	4480
65	680	4476
66	694	4487
67	704	4477
68	715	4471
69	725	4455
70	736	4451
71	742	4414
72	752	4400
73	763	4394
74	774	4390
75	785	4383
76	797	4380
77	808	4374
78	819	4369
79	831	4363
80	840	4349
81	846	4316
82	855	4296
83	872	4318
84	883	4311
85	892	4298
86	904	4293
87	916	4289
88	923	4263
89	936	4264
90	947	4256
91	958	4250
92	969	4242
93	981	4238
94	994	4239
95	1005	4233
96	1017	4226
97	1028	4218
98	1039	4209
99	1049	4197
100	1061	4192
101	1072	4186
102	1085	4182
103	1097	4178
104	1109	4172
105	1120	4163
106	1130	4153
107	1141	4144
108	1153	4137
109	1163	4125
110	1175	4118
111	1187	4112
112	1197	4100
113	1206	4086
114	1216	4073
115	1227	4062
116	1236	4046
117	1246	4035
118	1256	4024
119	1268	4018
120	1281	4012
121	1294	4010
122	1303	3996
123	1314	3987
124	1325	3977
125	1336	3966
126	1346	3955
127	1356	3942
128	1367	3932
129	1378	3924
130	1389	3914
131	1400	3905
132	1410	3892
133	1421	3883
134	1433	3874
135	1443	3864
136	1452	3848
137	1463	3838
138	1475	3831
139	1485	3820
140	1496	3810
141	1506	3798
142	1519	3792
143	1528	3779
144	1540	3771
145	1550	3760
146	1562	3752
147	1573	3743
148	1585	3736
149	1598	3729
150	1609	3719
151	1620	3710
152	1630	3698
153	1639	3683
154	1650	3673
155	1660	3662
156	1672	3653
157	1683	3643
158	1694	3633
159	1704	3621
160	1715	3612
161	1726	3603
162	1737	3592
163	1747	3579
164	1757	3567
165	1768	3558
166	1778	3546
167	1789	3536
168	1800	3525
169	1810	3515
170	1821	3503
171	1830	3491
172	1841	3481
173	1852	3471
174	1863	3461
175	1875	3452
176	1882	3436
177	1894	3426
178	1904	3415
179	1915	3405
180	1926	3394
181	1937	3385
182	1948	3375
183	1960	3366
184	1971	3356
185	1981	3345
186	1993	3336
187	2005	3328
188	2015	3316
189	2025	3304
190	2035	3293
191	2046	3283
192	2059	3275
193	2070	3265
194	2080	3254
195	2091	3243
196	2102	3233
197	2113	3223
198	2124	3212
199	2135	3202
200	2146	3193
201	2157	3183
202	2168	3172
203	2179	3161
204	2188	3149
205	2199	3139
206	2212	3131
207	2224	3123
208	2236	3114
209	2248	3105
210	2259	3095
211	2272	3086
212	2282	3076
213	2295	3067
214	2307	3059
215	2319	3050
216	2331	3040
217	2342	3030
218	2353	3019
219	2363	3008
220	2373	2996
221	2384	2985
222	2394	2974
223	2404	2962
224	2415	2951
225	2425	2940
226	2436	2930
227	2444	2916
228	2455	2905
229	2466	2895
230	2477	2885
231	2489	2875
232	2500	2865
233	2510	2853
234	2519	2841
235	2531	2831
236	2543	2822
237	2556	2814
238	2568	2805
239	2578	2792
240	2590	2784
241	2601	2773
242	2612	2762
243	2622	2751
244	2634	2741
245	2645	2731
246	2656	2720
247	2667	2710
248	2677	2698
249	2689	2689
250	2701	2679
251	2711	2668
252	2721	2657
253	2732	2646
254	2744	2636
255	2755	2626
256	2764	2613
257	2775	2603
258	2786	2593
259	2797	2581
260	2807	2571
261	2818	2560
262	2829	2549
263	2840	2539
264	2852	2529
265	2864	2519
266	2875	2508
267	2885	2497
268	2897	2488
269	2908	2477
270	2919	2466
271	2931	2457
272	2943	2447
273	2955	2437
274	2966	2427
275	2977	2416
276	2989	2406
277	2999	2395
278	3010	2384
279	3020	2373
280	3031	2362
281	3041	2351
282	3052	2340
283	3065	2331
284	3076	2320
285	3086	2309
286	3096	2298
287	3105	2286
288	3117	2275
289	3127	2264
290	3137	2253
291	3149	2243
292	3160	2232
293	3171	2222
294	3183	2212
295	3195	2202
296	3205	2191
297	3216	2180
298	3227	2169
299	3237	2158
300	3249	2148
301	3260	2137
302	3270	2126
303	3280	2115
304	3291	2104
305	3301	2093
306	3312	2082
307	3322	2070
308	3331	2059
309	3343	2049
310	3355	2039
311	3365	2027
312	3376	2017
313	3386	2006
314	3397	1995
315	3408	1984
316	3419	1974
317	3430	1963
318	3440	1952
319	3452	1941
320	3463	1931
321	3475	1921
322	3486	1910
323	3496	1899
324	3506	1887
325	3518	1877
326	3529	1867
327	3540	1856
328	3551	1846
329	3559	1833
330	3568	1822
331	3581	1812
332	3592	1801
333	3603	1791
334	3615	1780
335	3629	1771
336	3640	1760
337	3652	1750
338	3664	1740
339	3677	1730
340	3689	1720
341	3701	1709
342	3712	1699
343	3723	1688
344	3734	1677
345	3745	1667
346	3756	1656
347	3766	1645
348	3776	1634
349	3786	1622
350	3797	1612
351	3808	1601
352	3819	1590
353	3827	1578
354	3838	1567
355	3848	1556
356	3858	1545
357	3867	1534
358	3879	1523
359	3890	1512
360	3900	1501
361	3909	1490
362	3918	1479
363	3930	1468
364	3939	1456
365	3950	1446
366	3961	1435
367	3969	1423
368	3982	1413
369	3993	1403
370	4006	1392
371	4017	1382
372	4028	1371
373	4038	1360
374	4050	1350
375	4061	1339
376	4072	1328
377	4084	1318
378	4093	1306
379	4104	1296
380	4113	1284
381	4122	1273
382	4132	1262
383	4142	1251
384	4154	1241
385	4166	1230
386	4177	1219
387	4188	1209
388	4199	1198
389	4211	1187
390	4224	1177
391	4237	1167
392	4249	1156
393	4260	1146
394	4273	1135
395	4284	1125
396	4296	1114
397	4306	1103
398	4317	1092
399	4330	1082
400	4341	1071
401	4352	1061
402	4364	1050
403	4375	1039
404	4386	1028
405	4397	1018
406	4411	1008
407	4422	997
408	4433	986
409	4446	976
410	4459	965
411	4470	954
412	4483	944
413	4493	933
414	4506	923
415	4518	912
416	4529	901
417	4542	891
418	4553	880
419	4565	869
420	4578	859
421	4590	848
422	4603	838
423	4614	827
424	4625	816
425	4636	805
426	4647	794
427	4659	783
428	4671	773
429	4682	762
430	4694	751
431	4707	741
432	4716	729
433	4727	718
434	4739	708
435	4752	697
436	4761	686
437	4773	675
438	4786	665
439	4796	654
440	4808	643
441	4820	632
442	4829	621
443	4841	610
444	4853	599
445	4866	589
446	4878	578
447	4890	567
448	4901	556
449	4911	545
450	4922	534
451	4934	523
452	4945	513
453	4956	502
454	4966	491
455	4976	480
456	4986	469
457	4996	458
458	5005	447
459	5017	436
460	5028	425
461	5038	414
462	5050	403
463	5065	393
464	5076	382
465	5087	371
466	5099	360
467	5110	349
468	5121	338
469	5132	327
470	5143	316
471	5154	305
472	5165	294
473	5177	284
474	5189	273
475	5199	262
476	5210	251
477	5221	240
478	5232	229
479	5243	218
480	5254	207
481	5265	196
482	5275	185
483	5287	174
484	5299	163
485	5310	152
486	5320	142
487	5330	131
488	5342	120
489	5351	109
490	5363	98
491	5374	87
492	5383	76
493	5394	65
494	5405	54
495	5416	43
496	5426	32
497	5438	21
498	5450	10
499	5461	0
